epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4697.96,1.32617,0.88033,1.36336,0.82301,0.84548,0.88951,0.57977,1.24993,0.73684,1.36156,0.0009308,0.0009308,0.0009308
56,4782.9,1.32705,0.87987,1.35515,0.8452,0.84382,0.88112,0.57538,1.24298,0.75576,1.35587,0.000911,0.000911,0.000911
57,4867.86,1.30138,0.84979,1.3302,0.85735,0.82208,0.89243,0.58942,1.2521,0.7249,1.35773,0.0008912,0.0008912,0.0008912
58,4952.92,1.29894,0.85654,1.33953,0.85136,0.81883,0.88793,0.58434,1.26242,0.73494,1.36579,0.0008714,0.0008714,0.0008714
59,5037.88,1.29275,0.84279,1.33533,0.85492,0.83033,0.88307,0.58666,1.23521,0.73487,1.36154,0.0008516,0.0008516,0.0008516
60,5122.97,1.29429,0.84202,1.32843,0.85258,0.83052,0.88635,0.58654,1.24275,0.71569,1.36286,0.0008318,0.0008318,0.0008318
61,5208.05,1.29458,0.84136,1.32735,0.84906,0.82468,0.88327,0.58687,1.23563,0.73338,1.36508,0.000812,0.000812,0.000812
62,5292.99,1.27502,0.82349,1.31507,0.86922,0.81571,0.88755,0.5919,1.21968,0.73656,1.34457,0.0007922,0.0007922,0.0007922
63,5378.18,1.26421,0.81308,1.31406,0.84971,0.82532,0.88806,0.58629,1.2194,0.7238,1.35211,0.0007724,0.0007724,0.0007724
64,5463.11,1.2735,0.82071,1.3085,0.83608,0.8487,0.89061,0.58424,1.23442,0.71736,1.36556,0.0007526,0.0007526,0.0007526
65,5548.11,1.26654,0.81885,1.31122,0.83394,0.84026,0.88613,0.5804,1.22783,0.72034,1.33786,0.0007328,0.0007328,0.0007328
66,5632.99,1.24016,0.78689,1.29367,0.84844,0.82922,0.89261,0.59227,1.21326,0.69993,1.34971,0.000713,0.000713,0.000713
67,5718.2,1.24172,0.79812,1.28551,0.86783,0.82922,0.89281,0.59498,1.21143,0.70328,1.34978,0.0006932,0.0006932,0.0006932
68,5803.68,1.23493,0.79044,1.29691,0.86444,0.82208,0.88823,0.58637,1.22955,0.7199,1.34826,0.0006734,0.0006734,0.0006734
69,5888.68,1.22914,0.77424,1.28845,0.83552,0.84441,0.88936,0.59081,1.21742,0.71686,1.34224,0.0006536,0.0006536,0.0006536
70,5973.66,1.23973,0.78019,1.29578,0.87075,0.80519,0.89061,0.59045,1.22698,0.70057,1.34631,0.0006338,0.0006338,0.0006338
71,6058.66,1.21589,0.76851,1.27768,0.85902,0.82273,0.89313,0.60205,1.20322,0.6814,1.34809,0.000614,0.000614,0.000614
72,6143.75,1.21762,0.76492,1.2833,0.85751,0.83636,0.89227,0.59585,1.19926,0.70349,1.32595,0.0005942,0.0005942,0.0005942
73,6228.73,1.20322,0.75726,1.27493,0.85053,0.83879,0.8909,0.59598,1.20098,0.69197,1.34445,0.0005744,0.0005744,0.0005744
74,6313.59,1.22337,0.75215,1.28512,0.85685,0.82922,0.89403,0.59645,1.21377,0.68688,1.34098,0.0005546,0.0005546,0.0005546
